path,role,format,size_bytes,transparent_background,alpha_channel,sha256
navigation/inactive/webp/rating_96.webp,asset,webp,2358,True,True,9b46e2b586216cb1c2b1df2e3919b8e388281185ae6cf19150d59625bf5d4666
navigation/inactive/webp/riders_96.webp,asset,webp,3380,True,True,fb69223da86a90c4a58d9c012c06722f132348cd9a3f5e62fb882b54798dd673
navigation/inactive/webp/search_96.webp,asset,webp,3376,True,True,580496600404f50cc3bc8c638455ba964b367cd553c80fe89bd54e5e0caad65c
navigation/inactive/webp/settings_96.webp,asset,webp,3702,True,True,aab19e5b8e4ed43e743e62465fe52ceabe561194615ac9f436fe6ae7ffbea2a9
navigation/inactive/webp/studios_96.webp,asset,webp,2988,True,True,ca1ba1512ba2ab9de5ba1dc87d43cedfce09e08b4e026742651cb88b1f391ec5
og/png/og-default_1200x630.png,asset,png,47961,True,True,ffa8e73d84493b5deedf99f4bf335be6012384da4aa2089c9d48c7b7ed81502d
og/png/og-profile_1200x630.png,asset,png,47961,True,True,ffa8e73d84493b5deedf99f4bf335be6012384da4aa2089c9d48c7b7ed81502d
og/png/og-workspace_1200x630.png,asset,png,47961,True,True,ffa8e73d84493b5deedf99f4bf335be6012384da4aa2089c9d48c7b7ed81502d
og/svg/og-default.svg,asset,svg,2192,False,False,4253bed1c84261e3f5b3035bf34f13869e9347d9ed8af410b25726751dc1f414
og/svg/og-profile.svg,asset,svg,2192,False,False,4253bed1c84261e3f5b3035bf34f13869e9347d9ed8af410b25726751dc1f414
og/svg/og-workspace.svg,asset,svg,2192,False,False,4253bed1c84261e3f5b3035bf34f13869e9347d9ed8af410b25726751dc1f414
og/webp/og-default_1200x630.webp,asset,webp,81552,True,True,2f72df3c5c2c56e78035241ae6f92cf37b5feaa9c36413cf0c7fc74e27bfa2e7
og/webp/og-profile_1200x630.webp,asset,webp,81552,True,True,2f72df3c5c2c56e78035241ae6f92cf37b5feaa9c36413cf0c7fc74e27bfa2e7
og/webp/og-workspace_1200x630.webp,asset,webp,81552,True,True,2f72df3c5c2c56e78035241ae6f92cf37b5feaa9c36413cf0c7fc74e27bfa2e7
roles/active/png/bassist_96.png,asset,png,4355,True,True,a59542be97a55d2284c067877104c6cdcd47ab6796ee95d5768e93de759d2050
roles/active/png/conductor_96.png,asset,png,3230,True,True,fbbc2f0fb48938a85c810c458a2f86f41db0ba0db2059a9522f90680f1aba11c
roles/active/png/drummer_96.png,asset,png,4719,True,True,abdb543a0d91d8c7aa3e2c934ff7cb949c91c46328677f297a0948fe53aede30
roles/active/png/group_96.png,asset,png,5157,True,True,300b5dbe06cdfec53273442ab3bde172343bed89502866ab1b181d95049145b6
roles/active/png/guitarist_96.png,asset,png,4583,True,True,48b36202f2caf0b12c0105906a8eb666da4cd8fa38d1a9648869b68921f45a82
roles/active/png/keyboardist_96.png,asset,png,2964,True,True,b42682ca8d089915df6774d1f6d8481424917cbe735d225c3300e432d41e3d8c
